year,quarter,average_fare,total_passengers,largest_market_share,low_fare_market_share
1993,1,236.60088935281837,345741,0.6486638830897703,0.42876826722338207
1993,2,209.4159048393656,403857,0.6418381455876372,0.42203334688897925
1993,3,198.8709232026144,393045,0.6537908496732027,0.43741013071895424
1993,4,213.5002462043496,395495,0.6424210094378334,0.42018465326220766
1994,1,217.61194376528115,397667,0.6295558272208639,0.4193317033414833
1996,1,210.3909911894273,455842,0.6255186784140969,0.4041453744493392
1996,2,202.46286145878292,528950,0.5977600345274061,0.3942641346568839
1996,3,201.06954545454548,513137,0.5972771403353928,0.39052515445719327
1996,4,205.7369299820467,504663,0.5984359066427289,0.39236983842010775
1997,1,211.33452073116362,498839,0.6024258582255907,0.39459206419973253
1997,2,207.31024674742036,558781,0.6103849708389412,0.40677433826828174
1997,3,203.95285079928954,543861,0.6175790408525755,0.4107460035523979
1997,4,209.85151910112359,541227,0.6011360449438202,0.3945752808988764
1998,1,222.97164514586322,490013,0.6599282639885222,0.4387087517934003
1998,2,212.16647247706422,576258,0.6486605504587155,0.42732110091743114
1998,3,204.14078396436526,550397,0.6612694877505568,0.4490512249443207
1998,4,203.26787864963504,560083,0.6574589416058395,0.4239279197080292
1999,1,216.54849773755654,535092,0.6620407239819004,0.4514841628959276
1999,2,214.1542078983205,601315,0.6531547889241943,0.4412392192464821
1999,3,207.22753505201268,591353,0.6448530076888286,0.42224332881049303
1999,4,201.04120956399439,595085,0.6453352086263479,0.4206563525550867
2000,1,224.3496261239943,555358,0.6456791292001893,0.41508755324183627
2000,2,217.5190611863615,661498,0.633260158804297,0.4041662774404484
2000,3,218.38133333333332,624501,0.6285879629629629,0.3930092592592592
2000,4,214.97874000940294,609809,0.6342266102491773,0.4116408086506817
2001,1,224.02841497227357,561765,0.6349306839186691,0.4060304990757856
2001,2,203.9296887686062,636347,0.6255796120884078,0.4034460983310781
2001,3,189.62571297569923,546756,0.6240898670334709,0.3911370930765704
2001,4,185.31041706615534,482723,0.625790987535954,0.4037104506232023
2002,1,202.35133991537376,496959,0.6386365773389752,0.40431593794076165
2002,2,196.87353974122,564522,0.6396441774491682,0.4193900184842883
2002,3,188.08027586206896,544261,0.634832183908046,0.4168
2002,4,188.00369288742348,557302,0.6334149788035799,0.4005463966085728
2003,1,202.22221525096523,492001,0.6375723938223938,0.41828185328185324
2003,2,197.1346445275959,571018,0.636557530402245,0.41681478016838164
2003,3,195.23930633147114,558691,0.6377700186219739,0.4170251396648045
2003,4,194.66545539906102,573362,0.6385258215962442,0.4114037558685446
2004,1,204.5986173787806,532272,0.6430292846855498,0.4284829572731637
2004,2,191.01702117863718,653341,0.6349171270718232,0.4197237569060773
2004,3,181.12771441817338,618994,0.6360222531293463,0.4301808066759388
2004,4,179.40430379746834,615305,0.6280963972736124,0.402444011684518
2005,1,180.92737388724038,581675,0.6295499505440159,0.4006923837784372
2005,2,188.09426150121067,692469,0.6256416464891041,0.41022760290556903
2005,3,186.3432604651163,706050,0.6305813953488372,0.42197209302325583
2005,4,192.33968984962405,688670,0.6443796992481203,0.4299154135338346
2006,1,202.47150877192982,621950,0.6442706766917293,0.4240802005012531
2006,2,213.66574281539212,713272,0.6373745737944472,0.4246371164150024
2006,3,207.82322412155747,695477,0.6398385565052231,0.4171937321937322
2006,4,196.65623167155425,680125,0.6505425219941349,0.4133822091886608
2007,1,198.98708943911066,627491,0.6489590702374937,0.4251035876705407
2007,2,204.97753148614612,704195,0.6446045340050378,0.429727959697733
2007,3,203.1606739345887,665330,0.6443062438057483,0.4298612487611497
2007,4,204.3812258064516,660228,0.6506104218362283,0.4308089330024814
2008,1,211.49379204892966,630688,0.6631039755351682,0.4569775739041794
2008,2,221.69485129205268,722550,0.6493174061433447,0.42883959044368597
2008,3,229.1651406401552,651384,0.6503297769156159,0.42477206595538314
2008,4,218.21917322834645,626389,0.6593700787401574,0.4080610236220472
2009,1,194.60343971631207,568509,0.6602938196555218,0.41613981762917934
2009,2,190.08811944718659,663455,0.6555774925962488,0.414111549851925
2009,3,196.19833413809755,644012,0.6496378561081604,0.4153355866731048
2009,4,200.66723258096172,628018,0.6533611383709519,0.40237487733071636
2010,1,207.92510275689224,572165,0.6571177944862155,0.4151177944862155
2010,2,215.78055909759686,661010,0.6625453653751839,0.42596370769985287
2010,3,218.02105185185187,631199,0.6634172839506173,0.43581234567901234
2010,4,210.69085199610515,654797,0.668763388510224,0.4145618305744888
2011,1,226.89866336633662,580580,0.6670247524752476,0.4282128712871287
